<<<<<<< HEAD
user_id,role,added_at,token
1,editor,2025-01-23T16:01:09.004689,2728729c16d0241bd40409ed45d3fea1773c436c222d87ff6c93d895d5338c22
2,editor,2025-03-07T15:36:13.259781,19efa84bb4829e9bcf769432117b9302b01052d6d78e03b426bfef6383a24f7b
3,editor,2025-02-22T02:12:25.364180,55f0104f7f4227dc71740e73616d3a6f2bcae247b952f38cea0c87c812a337ea
4,viewer,2025-04-25T12:53:56.879239,33667c20636dc870e050e793df27220850384e2cd6106131785edf649dfdcec6
5,viewer,2025-03-28T04:15:26.273911,a8540edeed278fd4b8a7e8bce3631d06159f05e1439df218684c09e72ca56d36
6,admin,2025-04-17T11:09:31.448847,fcfea2e4e04f71b5c6f15d6d38a4296421223446f5a822e8aad38fe46796dfa7
7,viewer,2025-05-27T07:27:34.384252,eb6756afcf9fe74a8990e9d20cfbc664a2a293747e941a6db4c30907003256fa
8,viewer,2025-04-13T05:23:45.283325,f0d2700856cdae5f1ddc148aee1d96e09aad70f4708d7b77a6fa5b21c422fb2d
9,editor,2025-03-01T02:53:25.271132,8c6419488f6b2d5e3cce669259f7e30305a5fe5eee36b8a5e6b21732daa844eb
10,editor,2025-02-21T01:51:41.642951,4a9d4b5eb7c08b4c563a4f534238371db9de96808f22318ecfc5f657f58a5e4d
=======
user_id,username,role,added_at,token,active
1,Apiary,admin,2025-02-07T15:02:01.904214,914618e012e265e2e334ee9ac02003924cda477bd91eb04ec57cce827c57505c,True
2,Splunk,editor,2025-05-04T11:09:48.116486,99cd586e749b9316f45c43438282820d39d1ce49b47eb27cff22e0f1f4c714c9,True
3,lisaparsons,admin,2025-01-08T05:51:08.576234,15b2a84170329a45b0092748c54b80b3b4755a7b08cf386fc412d72abf7e0c1c,True
4,mmartinez,viewer,2025-01-07T00:05:12.762048,54405a26ac64af7a4102754bb927ccf83ac8d2232d168bd1e3676e48517c79ed,True
5,whitney55,viewer,2025-05-12T12:56:56.891568,cb64830558aac5ab89ac2da85aaa18caf2f0ee5a613feb8e620dc68f31022345,True
6,pweaver,viewer,2025-01-10T19:53:22.731517,5677ee7c3fe527d4a47cf0705a80b7d73f7db33568cb8281f95fb2f920611cf9,True
7,matthewcole,viewer,2025-02-12T06:13:21.462057,49e8e76f7ed6a4d2fb99ded8423705fe64f231afda2d587c028d7685306faee2,True
8,williamsandrew,viewer,2025-04-26T09:23:28.185495,2003b343cac69a3be4a6e29085513170469b50aa0015baf6bbff79a54a703412,True
9,nbailey,admin,2025-02-05T19:15:40.787569,7a701b003104e6c40abdedb1c11566343433b0ff57d9366193657c48a0d8f41f,True
10,xhooper,admin,2025-04-04T00:32:49.356445,63e43b532dce305c416ee6fad842cec5f626ca6473e4a4908e7ab591d4f3902b,True
>>>>>>> 7ff4466d09b28758eb77f6731724c6f83328138c
